Day,Location,Occupants,Water_Usage_Liters,AI_Result,Status,Usage_Deviation_%,Water_Waste_Score,Leak_Risk_Score,Risk_Level,AI_Recommendation,Potential_Saving_Liters,Smart_Action,Estimated_Saving_Liters
1,Hostel A,182,2124.44,1,Normal,36.272025760598346,36.3,43.5,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
1,Hostel B,201,4679.57,-1,Abnormal,153.00443339100346,100.0,100.0,🔴 High Risk,"🚨 Inspect pipes, taps and tanks immediately",2829.97,"🚨 Immediate inspection + check pipes, taps and tanks",2829.97
1,College Block A,179,1475.05,1,Normal,-9.910157514459693,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
1,College Block B,237,2124.84,1,Normal,34.01069012818696,34.0,40.8,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
1,Canteen,100,1048.85,1,Normal,-35.830725510169756,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
2,Hostel A,94,891.88,1,Normal,-42.790432144300404,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
2,Hostel B,130,1236.46,1,Normal,-33.14987024221453,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
2,College Block A,214,5615.25,-1,Abnormal,242.955823881855,100.0,100.0,🔴 High Risk,"🚨 Inspect pipes, taps and tanks immediately",3977.94,"🚨 Immediate inspection + check pipes, taps and tanks",3977.94
2,College Block B,139,1409.2,1,Normal,-11.123724831685653,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
2,Canteen,171,1664.63,1,Normal,1.8430656376089396,1.8,2.2,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
3,Hostel A,87,694.97,-1,Abnormal,-55.42120759219228,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
3,Hostel B,81,810.22,1,Normal,-56.194852941176464,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
3,College Block A,83,768.22,1,Normal,-53.08035741551691,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
3,College Block B,119,1372.56,1,Normal,-13.43455844094413,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
3,Canteen,190,1918.23,1,Normal,17.358466324667095,17.4,20.8,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
4,Hostel A,120,1024.56,1,Normal,-34.27968466359199,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
4,Hostel B,168,5275.06,-1,Abnormal,185.20004325259518,100.0,100.0,🔴 High Risk,"🚨 Inspect pipes, taps and tanks immediately",3425.4600000000005,"🚨 Immediate inspection + check pipes, taps and tanks",3425.4600000000005
4,College Block A,160,1820.17,1,Normal,11.168318766757677,11.2,13.4,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
4,College Block B,202,1563.32,1,Normal,-1.4035917569335972,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
4,Canteen,151,1442.87,1,Normal,-11.724344679276001,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
5,Hostel A,230,2641.94,1,Normal,69.46701989133851,69.5,83.4,🔴 High Risk,"🚨 Inspect pipes, taps and tanks immediately",0.0,"🚨 Immediate inspection + check pipes, taps and tanks",0.0
5,Hostel B,114,1283.04,1,Normal,-30.631487889273355,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
5,College Block A,210,2596.5,1,Normal,58.5832859995969,58.6,70.3,🔴 High Risk,"🚨 Inspect pipes, taps and tanks immediately",0.0,"🚨 Immediate inspection + check pipes, taps and tanks",0.0
